geoid10,name10,year,hsi_score,hei_score,hvi_score,n_veryhigh
42101034803,348.03,2023,-7.83004182,-0.35861868,-5.68446842,0
42101013602,136.02,2023,-8.7429866,-2.94643461,-5.71924044,0
42101036600,366,2023,-8.41825679,-2.20286789,-5.74998903,0
42101038400,384,2023,-7.29728842,-0.03620697,-5.8521923,0
42101020700,207,2023,-8.36221877,-2.64970536,-5.93562653,0
42101036203,362.03,2023,-8.32378658,-0.77764527,-6.04888368,0
42101021600,216,2023,-8.01363014,-2.13879627,-6.06767138,0
42101021000,210,2023,-8.90730909,-2.1651023,-6.10906104,0
42101038500,385,2023,-7.72181119,-1.11748335,-6.10957956,0
42101035301,353.01,2023,-8.4339832,-0.96991377,-6.14200512,0
42101000803,8.03,2023,-9.27443487,-2.33705469,-6.15555813,0
42101021200,212,2023,-8.62589788,-1.51331866,-6.1590472,0
42101038600,386,2023,-7.64806685,-1.10899113,-6.17628087,0
42101021100,211,2023,-8.92474696,-1.39896993,-6.2309986,0
42101001900,19,2023,-9.833807,-3.12685664,-6.25537452,0
42101018300,183,2023,-9.29177364,-0.44170863,-6.26284237,0
42101013402,134.02,2023,-9.52878964,-4.01666762,-6.29920879,0
42101000804,8.04,2023,-9.86140869,-2.38157148,-6.30745061,0
42101021700,217,2023,-8.65886379,-0.95053871,-6.31351073,0
42101036303,363.03,2023,-8.78542091,-0.37911776,-6.4361233,0
42101015800,158,2023,-9.88573765,-1.77470502,-6.43915309,0
42101036502,365.02,2023,-8.86551348,-0.53329857,-6.4652541,0
42101000801,8.01,2023,-9.82990268,-4.21202411,-6.49776845,0
42101021400,214,2023,-9.59072592,-2.99208973,-6.58957145,0
42101000600,6,2023,-10.3259091,-4.32954264,-6.59014617,0
42101001202,12.02,2023,-10.17783072,-3.20922801,-6.59327455,0
42101021900,219,2023,-8.90140506,-1.72213918,-6.94340163,0
42101021300,213,2023,-10.22109681,-1.98481718,-7.00832231,0
42101001002,10.02,2023,-10.42964227,-2.0904977,-7.19923183,0
42101001201,12.01,2023,-10.91630523,-2.78232683,-7.23059613,0
42101013601,136.01,2023,-11.09812863,-2.85289838,-7.27615146,0
42101020900,209,2023,-10.5012246,-2.67349761,-7.28989168,0
42101014200,142,2023,-11.2844669,-3.45063836,-7.34782204,0
42101000100,1,2023,-11.40280698,-3.31446979,-7.51458514,0
42101980000,9800,2023,-10.7981167,-3.88186471,-7.906208,0
42101021500,215,2023,-11.2111259,-2.28214781,-7.95001958,0
42101001600,16,2023,-12.47495621,-2.95395549,-8.14584427,0
42101001700,17,2023,-12.0739816,-2.67400914,-8.14947144,0
