geoid10,name10,district_name,hvi_score,hsi_score,hei_score
42101035601,356.01,Upper Far Northeast,-2.29852689,-2.70217909,2.66717482
42101015101,151.01,Lower North,5.1738151,7.73903818,0.84419206
42101015102,151.02,Lower North,6.11393485,9.31603306,2.33306106
42101036501,365.01,Upper Far Northeast,-3.42282251,-4.37498392,0.87779564
42101980400,9804,Lower Southwest,,,
42101013402,134.02,Central,-6.29920879,-9.52878964,-4.01666762
42101013401,134.01,Central,-5.56529787,-8.44248452,-0.82600986
42101013601,136.01,Central,-7.27615146,-11.09812863,-2.85289838
42101037900,379,River Wards,-3.66966892,-5.72071412,0.57896409
42101038200,382,River Wards,0.57571673,0.31718455,-0.1078215
42101038000,380,River Wards,-1.16524097,-2.16011838,0.87471064
42101000100,1,Central,-7.51458514,-11.40280698,-3.31446979
42101038100,381,North Delaware,0.04974259,0.13138155,0.19188446
42101038400,384,Lower Northwest,-5.8521923,-7.29728842,-0.03620697
42101000200,2,Central,0.94675523,0.72417105,-0.71934574
42101000300,3,Central,-5.43949107,-8.37053294,-2.10359515
42101000500,5,Central,-0.96403119,-2.02628325,-2.14378573
42101027901,279.01,Upper North,3.02559228,4.26503789,0.42491389
42101027902,279.02,Upper North,-0.56705797,-0.52604206,-1.36006786
42101008101,81.01,West,4.57457417,6.42926026,1.02034713
